"slug","title","source_url","attempted_url","local_path","hash","sha256","width","height","status","reason","rejection_reason","caption","anchor","candidate_source","source_report","placement_method","placement_score","fallback_caption_used"
"deference-lost","Deference Lost","https://cdn-images-1.medium.com/max/800/1*FE5E-HBoK9qh51ZDS3KhKw@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*FE5E-HBoK9qh51ZDS3KhKw@2x.jpeg","","bbbe329f954f57ca95f2047e2220acfaf756fdf4499e35bf9a4e736166663dc0","bbbe329f954f57ca95f2047e2220acfaf756fdf4499e35bf9a4e736166663dc0","800","800","skipped","duplicate_existing_or_featured_image_hash","duplicate_existing_or_featured_image_hash","Made in ChatGPT, February 2025.","","git_history","","","0","False"
"how-did-mother-become-a-controversial-word-in-america","How did “Mother” Become a Controversial Word in America?","https://cdn-images-1.medium.com/max/800/1*Gygd582a5T1240JTiEj1Vw@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","","git_history","","","0","False"
"how-did-mother-become-a-controversial-word-in-america","How did “Mother” Become a Controversial Word in America?","https://cdn-images-1.medium.com/max/800/1*j_p9PbZZDUlhS3gkvfHecw@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","#### Motherhood as Medical Reality in Early Obstetrics","git_history","","","0","False"
"how-did-mother-become-a-controversial-word-in-america","How did “Mother” Become a Controversial Word in America?","https://cdn-images-1.medium.com/max/800/1*y4t10TE99FzJeOSYeHBGXg.png","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","#### From Maternal Health to “Birthing Person” ~ The Medical Language Shift","git_history","","","0","False"
"how-senate-republicans-handle-trumps-ukraine-rhetoric-without-losing-maga-support","How Senate Republicans Handle Trump’s Ukraine Rhetoric Without Losing MAGA Support","https://cdn-images-1.medium.com/max/800/1*62Vbq7VGbj_5Kmzp7omTlg@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*62Vbq7VGbj_5Kmzp7omTlg@2x.jpeg","","ce382abf9ec021d17148a74955d2b713c913ccc400d3c6f8cf5f2d90ace5ef7d","ce382abf9ec021d17148a74955d2b713c913ccc400d3c6f8cf5f2d90ace5ef7d","800","531","skipped","duplicate_existing_or_featured_image_hash","duplicate_existing_or_featured_image_hash","Photo by Chad Stembridge on Unsplash","","git_history","","","0","False"
"how-senate-republicans-handle-trumps-ukraine-rhetoric-without-losing-maga-support","How Senate Republicans Handle Trump’s Ukraine Rhetoric Without Losing MAGA Support","https://cdn-images-1.medium.com/max/800/1*psEGfuXpp4stkq6ng0V1yw@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*psEGfuXpp4stkq6ng0V1yw@2x.jpeg","/images/medium/how-senate-republicans-handle-trumps-ukraine-rhetoric-without-losing-maga-support/d517419a955cdb6b4ab9b3873ee4d109e72cfd0319960b4adf8c49f4bbc4a3ce.jpeg","d517419a955cdb6b4ab9b3873ee4d109e72cfd0319960b4adf8c49f4bbc4a3ce","d517419a955cdb6b4ab9b3873ee4d109e72cfd0319960b4adf8c49f4bbc4a3ce","800","533","inserted","","","Photo by Markus Winkler on Unsplash","Conclusion — Hedging Their Bets","git_history","","section_order_fallback","0","False"
"how-senate-republicans-handle-trumps-ukraine-rhetoric-without-losing-maga-support","How Senate Republicans Handle Trump’s Ukraine Rhetoric Without Losing MAGA Support","https://cdn-images-1.medium.com/max/800/1*hSm19Xy21-f3haPBICsRyQ@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*hSm19Xy21-f3haPBICsRyQ@2x.jpeg","/images/medium/how-senate-republicans-handle-trumps-ukraine-rhetoric-without-losing-maga-support/2170365735c77015f69068a9828d828ec4a0ed230e310cd38208222032016813.jpeg","2170365735c77015f69068a9828d828ec4a0ed230e310cd38208222032016813","2170365735c77015f69068a9828d828ec4a0ed230e310cd38208222032016813","800","532","inserted","","","Photo by Bozhin Karaivanov on Unsplash","The Political Calculus of GOP Lawmakers","git_history","","section_order_fallback","0","False"
"how-senate-republicans-handle-trumps-ukraine-rhetoric-without-losing-maga-support","How Senate Republicans Handle Trump’s Ukraine Rhetoric Without Losing MAGA Support","https://cdn-images-1.medium.com/max/800/1*Pqp3BB7ttMpuRrXXl88lNQ@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*Pqp3BB7ttMpuRrXXl88lNQ@2x.jpeg","/images/medium/how-senate-republicans-handle-trumps-ukraine-rhetoric-without-losing-maga-support/5744b33e355d56c9410af9acb253d67e02211ebab2e970f849f70f895bf6ec92.jpeg","5744b33e355d56c9410af9acb253d67e02211ebab2e970f849f70f895bf6ec92","5744b33e355d56c9410af9acb253d67e02211ebab2e970f849f70f895bf6ec92","800","533","inserted","","","Photo by Christophe Hautier on Unsplash","The Fine Line of GOP Messaging on Ukraine","git_history","","fuzzy_heading","0.65","False"
"is-doge-legal","Is DOGE Legal?","https://cdn-images-1.medium.com/max/800/1*xV-bj-bvHTq5QjclxFhjjw@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*xV-bj-bvHTq5QjclxFhjjw@2x.jpeg","","10ffd90e9af53ac34383d3682567157a1cd9f31053fe0456e16e2f7ee243bb24","10ffd90e9af53ac34383d3682567157a1cd9f31053fe0456e16e2f7ee243bb24","800","800","skipped","duplicate_existing_or_featured_image_hash","duplicate_existing_or_featured_image_hash","^Made using ChatGPT, February 2025.","","git_history","","","0","False"
"is-doge-legal","Is DOGE Legal?","https://cdn-images-1.medium.com/max/800/1*alXlp3OlaOA6BPRyptmIeg@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*alXlp3OlaOA6BPRyptmIeg@2x.jpeg","/images/medium/is-doge-legal/3208645cf2b4501ef6629cebe2d3118acc6d3aefafe5da074f4bb5025e2ed8bb.jpeg","3208645cf2b4501ef6629cebe2d3118acc6d3aefafe5da074f4bb5025e2ed8bb","3208645cf2b4501ef6629cebe2d3118acc6d3aefafe5da074f4bb5025e2ed8bb","800","800","inserted","","","^Made using ChatGPT, February 2025.","Conclusion: DOGE’s Legality Hangs in the Balance","git_history","","exact_previous_text","1","False"
"is-doge-legal","Is DOGE Legal?","https://cdn-images-1.medium.com/max/800/1*l2s_tVOnn7YyoiLtdxFCJg@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*l2s_tVOnn7YyoiLtdxFCJg@2x.jpeg","/images/medium/is-doge-legal/57094fc3b48685946a22b7ed153f80ed26838585b0889001a2e6fcc3d440a22e.jpeg","57094fc3b48685946a22b7ed153f80ed26838585b0889001a2e6fcc3d440a22e","57094fc3b48685946a22b7ed153f80ed26838585b0889001a2e6fcc3d440a22e","800","800","inserted","","","^Made using ChatGPT, February 2025.","Legal Precedents: How Past Supreme Court Rulings May Shape DOGE’s Fate","git_history","","exact_previous_text","1","False"
"is-doge-legal","Is DOGE Legal?","https://cdn-images-1.medium.com/max/800/1*7qozmPFESBlwe8GGK1pBXw@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*7qozmPFESBlwe8GGK1pBXw@2x.jpeg","/images/medium/is-doge-legal/10b1c7b46535559a1db55235ed5b8fcaf86191152000c369edc06819eb6c84b6.jpeg","10b1c7b46535559a1db55235ed5b8fcaf86191152000c369edc06819eb6c84b6","10b1c7b46535559a1db55235ed5b8fcaf86191152000c369edc06819eb6c84b6","800","800","inserted","","","^Made using ChatGPT, February 2025.","The Lawsuits Against DOGE: What Happens Next?","git_history","","exact_previous_text","1","False"
"is-doge-legal","Is DOGE Legal?","https://cdn-images-1.medium.com/max/800/1*3IfLN-nFnmBiZ3vnshhsfA@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*3IfLN-nFnmBiZ3vnshhsfA@2x.jpeg","/images/medium/is-doge-legal/e723d4f00340bad5655b721481042fadd90210bc9973097d521afd3249b446e6.jpeg","e723d4f00340bad5655b721481042fadd90210bc9973097d521afd3249b446e6","e723d4f00340bad5655b721481042fadd90210bc9973097d521afd3249b446e6","800","800","inserted","","","^Made using ChatGPT, February 2025.","The 119th Congress: A Republican Majority with Growing Fractures","git_history","","exact_previous_text","1","False"
"is-doge-legal","Is DOGE Legal?","https://cdn-images-1.medium.com/max/800/1*qYyj9klbVQ0x7f8TB01IIA@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*qYyj9klbVQ0x7f8TB01IIA@2x.jpeg","/images/medium/is-doge-legal/6908e38a972a0549b2886b0d8fe1762db912286d3cc2f41eabb0abc4bfb3b3df.jpeg","6908e38a972a0549b2886b0d8fe1762db912286d3cc2f41eabb0abc4bfb3b3df","6908e38a972a0549b2886b0d8fe1762db912286d3cc2f41eabb0abc4bfb3b3df","800","800","inserted","","","^Made using ChatGPT, February 2025.","DOGE’s Access to the U.S. Treasury: A Privacy Violation?","git_history","","exact_previous_text","1","False"
"is-doge-legal","Is DOGE Legal?","https://cdn-images-1.medium.com/max/800/1*Pr6z6VoWkOjU7stuatVSBQ@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*Pr6z6VoWkOjU7stuatVSBQ@2x.jpeg","/images/medium/is-doge-legal/8720760bee969f4bc2f540e9e4b170cd8a0ab9d90371c82344dd5562dc5a44e9.jpeg","8720760bee969f4bc2f540e9e4b170cd8a0ab9d90371c82344dd5562dc5a44e9","8720760bee969f4bc2f540e9e4b170cd8a0ab9d90371c82344dd5562dc5a44e9","800","800","inserted","","","^Made using ChatGPT, February 2025.","Can DOGE Legally Shut Down Agencies Like USAID?","git_history","","exact_previous_text","1","False"
"is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction","Is Trump Seriously Asking for Ukraine’s Mineral Rights — Or Is This Just a Distraction?","https://cdn-images-1.medium.com/max/800/1*HpzYrmZu2lo3xkEf5uMHnw@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*HpzYrmZu2lo3xkEf5uMHnw@2x.jpeg","","ddf0698b8bfddfca59454408fb47a4e29df1578c33e821d6083ab9e6d85458f5","ddf0698b8bfddfca59454408fb47a4e29df1578c33e821d6083ab9e6d85458f5","800","500","skipped","duplicate_existing_or_featured_image_hash","duplicate_existing_or_featured_image_hash","Photo by Glib Albovsky on Unsplash","","git_history","","","0","False"
"is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction","Is Trump Seriously Asking for Ukraine’s Mineral Rights — Or Is This Just a Distraction?","https://cdn-images-1.medium.com/max/800/1*oJSjbNskr7LUTIkWXVZL8w@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","But Ukraine is at war, and many deposits are in Russian-occupied areas.","git_history","","","0","False"
"is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction","Is Trump Seriously Asking for Ukraine’s Mineral Rights — Or Is This Just a Distraction?","https://cdn-images-1.medium.com/max/800/1*t7abqlMVSuFnb0PCO4Xv_Q@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*t7abqlMVSuFnb0PCO4Xv_Q@2x.jpeg","/images/medium/is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction/653bc960a37dfef05b314b85c8e67b91da1ab5a61c6918262a82cb7c9c4d28b3.jpeg","653bc960a37dfef05b314b85c8e67b91da1ab5a61c6918262a82cb7c9c4d28b3","653bc960a37dfef05b314b85c8e67b91da1ab5a61c6918262a82cb7c9c4d28b3","800","566","inserted","","","Photo by benjamin lehman on Unsplash","Conclusion: A Test of America’s Intentions","git_history","","section_order_fallback","0","False"
"is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction","Is Trump Seriously Asking for Ukraine’s Mineral Rights — Or Is This Just a Distraction?","https://cdn-images-1.medium.com/max/800/1*u8l6AZ4MnhH2RP0wHXUuQQ@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*u8l6AZ4MnhH2RP0wHXUuQQ@2x.jpeg","/images/medium/is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction/a5d91c2f10656ad8b061e2f2ef3e8e3db87c3cd826e8489fc6ca2ae0102404a2.jpeg","a5d91c2f10656ad8b061e2f2ef3e8e3db87c3cd826e8489fc6ca2ae0102404a2","a5d91c2f10656ad8b061e2f2ef3e8e3db87c3cd826e8489fc6ca2ae0102404a2","800","561","inserted","","","Photo by Afif Ramdhasuma on Unsplash","A Deal That Could Ease Tensions Between Trump and Zelensky","git_history","","section_order_fallback","0","False"
"is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction","Is Trump Seriously Asking for Ukraine’s Mineral Rights — Or Is This Just a Distraction?","https://cdn-images-1.medium.com/max/800/1*jAK6Nm-MBD978dQMRdzVXA@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*jAK6Nm-MBD978dQMRdzVXA@2x.jpeg","/images/medium/is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction/670bb53e500e6fa94c2fe80a2a7e44dfda2449fb4f74f1332a7c0e06785a12eb.jpeg","670bb53e500e6fa94c2fe80a2a7e44dfda2449fb4f74f1332a7c0e06785a12eb","670bb53e500e6fa94c2fe80a2a7e44dfda2449fb4f74f1332a7c0e06785a12eb","800","1065","inserted","","","Photo by Julius Drost on Unsplash","Trump is a Master Manipulator","git_history","","section_order_fallback","0","False"
"is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction","Is Trump Seriously Asking for Ukraine’s Mineral Rights — Or Is This Just a Distraction?","https://cdn-images-1.medium.com/max/800/1*PDLd0Ood0TdQMQn4fztACA@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*PDLd0Ood0TdQMQn4fztACA@2x.jpeg","/images/medium/is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction/bd5d90f89c4153c304c7017f382d4fad7d840f0b52087a7e621a052a16fbdfee.jpeg","bd5d90f89c4153c304c7017f382d4fad7d840f0b52087a7e621a052a16fbdfee","bd5d90f89c4153c304c7017f382d4fad7d840f0b52087a7e621a052a16fbdfee","800","533","inserted","","","Photo by History in HD on Unsplash","Trump’s Own Words: Does He Even Want to Protect Ukraine?","git_history","","section_order_fallback","0","False"
"is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction","Is Trump Seriously Asking for Ukraine’s Mineral Rights — Or Is This Just a Distraction?","https://cdn-images-1.medium.com/max/800/1*avJ8WSppwf_HB5FlHoFGag@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*avJ8WSppwf_HB5FlHoFGag@2x.jpeg","/images/medium/is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction/a571105b88a46943e83afd6cc8099a90d2fb6bc877ac92890be59079887ed98d.jpeg","a571105b88a46943e83afd6cc8099a90d2fb6bc877ac92890be59079887ed98d","a571105b88a46943e83afd6cc8099a90d2fb6bc877ac92890be59079887ed98d","800","530","inserted","","","Photo by Pedro Henrique Santos on Unsplash","Why Ukraine’s Minerals Matter to the U.S.","git_history","","fuzzy_heading","1","False"
"is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction","Is Trump Seriously Asking for Ukraine’s Mineral Rights — Or Is This Just a Distraction?","https://cdn-images-1.medium.com/max/800/1*ZTl6bCIdX9qdwTHcwBLJ7w@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*ZTl6bCIdX9qdwTHcwBLJ7w@2x.jpeg","/images/medium/is-trump-seriously-asking-for-ukraines-mineral-rights-or-is-this-just-a-distraction/a97593849e9ffc938474ed69a1c16889e21b85b94cc374b5ac5bf1d89ea83f13.jpeg","a97593849e9ffc938474ed69a1c16889e21b85b94cc374b5ac5bf1d89ea83f13","a97593849e9ffc938474ed69a1c16889e21b85b94cc374b5ac5bf1d89ea83f13","800","533","inserted","","","Photo by Visit Greenland on Unsplash","The Greenland Playbook: A Pattern of Resource-Driven Deals","git_history","","section_order_fallback","0","False"
"june-27-2025-scotus-set-to-close-its-term-with-major-decisions","June 27, 2025 — SCOTUS Set to Close Its Term with Major Decisions","https://cdn-images-1.medium.com/max/800/1*MPK6nTbeALcKmeOyD4i-gw.png","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","","git_history","","","0","False"
"life-is-a-bull-market","Life Is a Bull Market","https://cdn-images-1.medium.com/max/800/1*1ibbdO6E5h1l8qqEFQDSPg@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","","git_history","","","0","False"
"life-is-a-bull-market","Life Is a Bull Market","https://cdn-images-1.medium.com/max/800/1*mHxN-rEGGixumWP62rOm3g@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","### Human capital never stops compounding","git_history","","","0","False"
"life-is-a-bull-market","Life Is a Bull Market","https://cdn-images-1.medium.com/max/800/1*1giorNpjt9JERAT0x_6mQQ@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","### Long-term optimism without denial","git_history","","","0","False"
"make-fighter-jets-great-again-introducing-the-f-47","Make Fighter Jets Great Again: Introducing the F-47","https://cdn-images-1.medium.com/max/800/1*7l9aPri3lcuoqmRjXKmL8w@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","","git_history","","","0","False"
"make-fighter-jets-great-again-introducing-the-f-47","Make Fighter Jets Great Again: Introducing the F-47","https://cdn-images-1.medium.com/max/800/1*cB6V2VkB1zb_vJR9yUf9RQ@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","“Nothing in the world comes even close to it, and it’ll be known as the F-47,” Trump announced from the Oval Office, flanked by Defense Secretary Pete Hegseth and Air Force Chief Gen. David Allvin.Unveiling the F-47: A Sixth-Generation Powerhouse","git_history","","","0","False"
"make-fighter-jets-great-again-introducing-the-f-47","Make Fighter Jets Great Again: Introducing the F-47","https://cdn-images-1.medium.com/max/800/1*ItwxxSynp8aCyLHASfgKLg@2x.jpeg","","","","","0","0","rejected","missing_caption_or_provenance","missing_caption_or_provenance","","“We recognize the importance of designing, building and delivering a 6th-generation fighter capability for the United States Air Force,” said Steve Parker, interim president and CEO of Boeing Defense. “In preparation for this mission, we made the most significant investment in the history of our defense business.”Next-Level Tech: Stealth, Speed, and AI Integration","git_history","","","0","False"
"make-fighter-jets-great-again-introducing-the-f-47","Make Fighter Jets Great Again: Introducing the F-47","https://cdn-images-1.medium.com/max/800/1*-eST_u9vJtl6X72HvNm_Ow@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*-eST_u9vJtl6X72HvNm_Ow@2x.jpeg","/images/medium/make-fighter-jets-great-again-introducing-the-f-47/3842e8bc5bac8d88347df71b2f8a346c6f34e83c20fa6c126a44812741532b89.jpeg","3842e8bc5bac8d88347df71b2f8a346c6f34e83c20fa6c126a44812741532b89","3842e8bc5bac8d88347df71b2f8a346c6f34e83c20fa6c126a44812741532b89","800","536","inserted","","","Photo by Anukrati Omar on Unsplash","“They’ve already built much of what has to be built in terms of production,” he said, referencing new manufacturing “sheds.”The Legacy Jet: Built to Dominate — and Be Remembered","git_history","","section_order_fallback","0","False"
"make-fighter-jets-great-again-introducing-the-f-47","Make Fighter Jets Great Again: Introducing the F-47","https://cdn-images-1.medium.com/max/800/1*hv6l028F_n9ITpZ4vCTsCQ@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*hv6l028F_n9ITpZ4vCTsCQ@2x.jpeg","/images/medium/make-fighter-jets-great-again-introducing-the-f-47/15d2bc5b1ff43d21d0f50475d7bd63eafd80e823a451eddb6799182896302d0d.jpeg","15d2bc5b1ff43d21d0f50475d7bd63eafd80e823a451eddb6799182896302d0d","15d2bc5b1ff43d21d0f50475d7bd63eafd80e823a451eddb6799182896302d0d","800","533","inserted","","","Photo by Emiel Molenaar on Unsplash","“A monumental leap forward in securing America’s air superiority for decades to come… With the F-47, we are not just building another fighter — we are shaping the future of warfare and putting our enemies on notice.”Price Tag and Production: What Will the F-47 Cost?","git_history","","section_order_fallback","0","False"
"make-fighter-jets-great-again-introducing-the-f-47","Make Fighter Jets Great Again: Introducing the F-47","https://cdn-images-1.medium.com/max/800/1*_yDVTAzDzNfGMmZ_n0nWMQ@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*_yDVTAzDzNfGMmZ_n0nWMQ@2x.jpeg","/images/medium/make-fighter-jets-great-again-introducing-the-f-47/6219d51d1b94a46004cd1de9e6fb7af86cdef714bdc2bd0fad740afbda5ff70e.jpeg","6219d51d1b94a46004cd1de9e6fb7af86cdef714bdc2bd0fad740afbda5ff70e","6219d51d1b94a46004cd1de9e6fb7af86cdef714bdc2bd0fad740afbda5ff70e","800","533","inserted","","","Photo by Felix Mittermeier on Unsplash","Air Superiority Reimagined: What the F-47 Means for U.S. Strategy","git_history","","section_order_fallback","0","False"
